Team Name,Score,Shots,Shots On Target,Possession,Passes,Fouls
Man City,3-0,12,8,46%,476,9
Liverpool,7-0,9,5,38%,362,9
Tottenham,3-0,11,2,39%,395,16
Crystal Palace,4-0,7,2,58%,610,8
Brentford,4-0,11,5,53%,450,14
